ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1640998800000,2022-01-01T01:00:00.000Z,10000,10000,CASH,cash,0,0
1641002400000,2022-01-01T02:00:00.000Z,10000,10000,CASH,cash,0,0
1641006000000,2022-01-01T03:00:00.000Z,10000,10000,CASH,cash,0,0
1641009600000,2022-01-01T04:00:00.000Z,10000,10000,CASH,cash,0,0
1641013200000,2022-01-01T05:00:00.000Z,10000,10000,CASH,cash,0,0
1641016800000,2022-01-01T06:00:00.000Z,10000,10000,CASH,cash,0,0
1641020400000,2022-01-01T07:00:00.000Z,10000,10000,CASH,cash,0,0
1641024000000,2022-01-01T08:00:00.000Z,10000,10000,CASH,cash,0,0
1641027600000,2022-01-01T09:00:00.000Z,10000,10000,CASH,cash,0,0
1641031200000,2022-01-01T10:00:00.000Z,10000,10000,CASH,cash,0,0
1641034800000,2022-01-01T11:00:00.000Z,10000,10000,CASH,cash,0,0
1641038400000,2022-01-01T12:00:00.000Z,10000,10000,CASH,cash,0,0
1641042000000,2022-01-01T13:00:00.000Z,10000,10000,CASH,cash,0,0
1641045600000,2022-01-01T14:00:00.000Z,10000,10000,CASH,cash,0,0
1641049200000,2022-01-01T15:00:00.000Z,10000,10000,CASH,cash,0,0
1641052800000,2022-01-01T16:00:00.000Z,10000,10000,CASH,cash,0,0
1641056400000,2022-01-01T17:00:00.000Z,10000,10000,CASH,cash,0,0
1641060000000,2022-01-01T18:00:00.000Z,10000,10000,CASH,cash,0,0
1641063600000,2022-01-01T19:00:00.000Z,10000,10000,CASH,cash,0,0
1641067200000,2022-01-01T20:00:00.000Z,10000,10000,CASH,cash,0,0
1641070800000,2022-01-01T21:00:00.000Z,10000,10000,CASH,cash,0,0
1641074400000,2022-01-01T22:00:00.000Z,10000,10000,CASH,cash,0,0
1641078000000,2022-01-01T23:00:00.000Z,10000,10000,CASH,cash,0,0
1641081600000,2022-01-02T00:00:00.000Z,10000,10000,CASH,cash,0,0
1641085200000,2022-01-02T01:00:00.000Z,10000,10000,CASH,cash,0,0
1641088800000,2022-01-02T02:00:00.000Z,10000,10000,CASH,cash,0,0
1641092400000,2022-01-02T03:00:00.000Z,10000,10000,CASH,cash,0,0
1641096000000,2022-01-02T04:00:00.000Z,10000,10000,CASH,cash,0,0
1641099600000,2022-01-02T05:00:00.000Z,10000,10000,CASH,cash,0,0
1641103200000,2022-01-02T06:00:00.000Z,10000,10000,CASH,cash,0,0
1641106800000,2022-01-02T07:00:00.000Z,10000,10000,CASH,cash,0,0
1641110400000,2022-01-02T08:00:00.000Z,10000,10000,CASH,cash,0,0
1641114000000,2022-01-02T09:00:00.000Z,10000,10000,CASH,cash,0,0
1641117600000,2022-01-02T10:00:00.000Z,10000,10000,CASH,cash,0,0
1641121200000,2022-01-02T11:00:00.000Z,10000,10000,CASH,cash,0,0
1641124800000,2022-01-02T12:00:00.000Z,10000,10000,CASH,cash,0,0
1641128400000,2022-01-02T13:00:00.000Z,10000,10000,CASH,cash,0,0
1641132000000,2022-01-02T14:00:00.000Z,10000,10000,CASH,cash,0,0
1641135600000,2022-01-02T15:00:00.000Z,10000,10000,CASH,cash,0,0
1641139200000,2022-01-02T16:00:00.000Z,10000,10000,CASH,cash,0,0
1641142800000,2022-01-02T17:00:00.000Z,10000,10000,CASH,cash,0,0
1641146400000,2022-01-02T18:00:00.000Z,10000,10000,CASH,cash,0,0
1641150000000,2022-01-02T19:00:00.000Z,10000,10000,CASH,cash,0,0
1641153600000,2022-01-02T20:00:00.000Z,10000,10000,CASH,cash,0,0
1641157200000,2022-01-02T21:00:00.000Z,10000,10000,CASH,cash,0,0
1641160800000,2022-01-02T22:00:00.000Z,10000,10000,CASH,cash,0,0
1641164400000,2022-01-02T23:00:00.000Z,10000,10000,CASH,cash,0,0
1641168000000,2022-01-03T00:00:00.000Z,10000,10000,CASH,cash,0,0
1641171600000,2022-01-03T01:00:00.000Z,10000,10000,CASH,cash,0,0
1641175200000,2022-01-03T02:00:00.000Z,10000,10000,CASH,cash,0,0
1641178800000,2022-01-03T03:00:00.000Z,10000,10000,CASH,cash,0,0
1641182400000,2022-01-03T04:00:00.000Z,10000,10000,CASH,cash,0,0
1641186000000,2022-01-03T05:00:00.000Z,10000,10000,CASH,cash,0,0
1641189600000,2022-01-03T06:00:00.000Z,10000,10000,CASH,cash,0,0
1641193200000,2022-01-03T07:00:00.000Z,10000,10000,CASH,cash,0,0
1641196800000,2022-01-03T08:00:00.000Z,10000,10000,CASH,cash,0,0
1641200400000,2022-01-03T09:00:00.000Z,10000,10000,CASH,cash,0,0
1641204000000,2022-01-03T10:00:00.000Z,10000,10000,CASH,cash,0,0
1641207600000,2022-01-03T11:00:00.000Z,10000,10000,CASH,cash,0,0
1641211200000,2022-01-03T12:00:00.000Z,10000,10000,CASH,cash,0,0
1641214800000,2022-01-03T13:00:00.000Z,10000,10000,CASH,cash,0,0
1641218400000,2022-01-03T14:00:00.000Z,10000,10000,CASH,cash,0,0
