period,start_equity,end_equity,return_pct
2023-02,10000,10000,0
2023-03,10000,10000,0
2023-04,10000,10000,0
2023-05,10000,10000,0
2023-06,10000,10000,0
2023-07,10000,10000,0
2023-08,10000,10000,0
2023-09,10000,10000,0
2023-10,10000,10000,0
2023-11,10000,10000,0
2023-12,10000,10000,0
2024-01,10000,10000,0
2024-02,10000,10000,0
2024-03,10000,10000,0
2024-04,10000,10000,0
2024-05,10000,10000,0
2024-06,10000,10000,0
2024-07,10000,10000,0
2024-08,10000,10000,0
2024-09,10000,10000,0
2024-10,10000,10000,0
2024-11,10000,10000,0
2024-12,10000,10000,0
2025-01,10000,10000,0
2025-02,10000,10000,0
2025-03,10000,10000,0
2025-04,10000,10000,0
2025-05,10000,10000,0
2025-06,10000,10000,0
2025-07,10000,10000,0
2025-08,10000,10000,0
2025-09,10000,10000,0
2025-10,10000,10000,0
2025-11,10000,10000,0
2025-12,10000,10000,0
2026-01,10000,10000,0
2026-02,10000,10000,0
2026-03,10000,10000,0
2026-04,10000,10000,0
